,PROP_TYPE_EN,AREA_EN,ACTUAL_AREA,count_total,sum_total,mean_total,count_sale,sum_sale,mean_sale,SSI
130,Unit,DUBAI HILLS,60.11,2,2956800.0,1478400.0,1,1600000.0,1600000.0,0.5
131,Unit,DUBAI HILLS,62.15,2,2584000.0,1292000.0,1,1520000.0,1520000.0,0.5
132,Unit,DUBAI HILLS,62.18,1,1245000.0,1245000.0,1,1245000.0,1245000.0,1.0
133,Unit,DUBAI HILLS,63.69,1,1400000.0,1400000.0,1,1400000.0,1400000.0,1.0
134,Unit,DUBAI HILLS,71.27,2,2600000.0,1300000.0,1,1480000.0,1480000.0,0.5
135,Unit,DUBAI HILLS,85.69,2,3420000.0,1710000.0,1,1900000.0,1900000.0,0.5
136,Unit,DUBAI HILLS,110.92,2,3960000.0,1980000.0,1,2200000.0,2200000.0,0.5
137,Unit,DUBAI HILLS,126.79,1,2950000.0,2950000.0,1,2950000.0,2950000.0,1.0
138,Unit,DUBAI LAND RESIDENCE COMPLEX,35.06,1,425000.0,425000.0,1,425000.0,425000.0,1.0
139,Unit,DUBAI LAND RESIDENCE COMPLEX,71.46,1,989948.0,989948.0,1,989948.0,989948.0,1.0
140,Unit,DUBAI LAND RESIDENCE COMPLEX,75.69,1,1048545.0,1048545.0,1,1048545.0,1048545.0,1.0
141,Unit,DUBAI LAND RESIDENCE COMPLEX,101.65,2,1236820.0,618410.0,1,710000.0,710000.0,0.5
142,Unit,DUBAI LAND RESIDENCE COMPLEX,119.53,1,564516.0,564516.0,1,564516.0,564516.0,1.0
143,Unit,DUBAI LAND RESIDENCE COMPLEX,123.73,1,1300000.0,1300000.0,1,1300000.0,1300000.0,1.0
144,Unit,DUBAI MARINA,41.15,1,1000000.0,1000000.0,1,1000000.0,1000000.0,1.0
145,Unit,DUBAI MARINA,59.46,1,1830000.0,1830000.0,1,1830000.0,1830000.0,1.0
146,Unit,DUBAI MARINA,66.98,1,1600000.0,1600000.0,1,1600000.0,1600000.0,1.0
147,Unit,DUBAI MARINA,73.21,1,1580000.0,1580000.0,1,1580000.0,1580000.0,1.0
148,Unit,DUBAI MARINA,73.61,1,1683731.0,1683731.0,1,1683731.0,1683731.0,1.0
149,Unit,DUBAI MARINA,78.49,1,955000.0,955000.0,1,955000.0,955000.0,1.0
150,Unit,DUBAI MARINA,101.25,1,2610000.0,2610000.0,1,2610000.0,2610000.0,1.0
151,Unit,DUBAI MARINA,108.95,1,2220000.0,2220000.0,1,2220000.0,2220000.0,1.0
152,Unit,DUBAI MARINA,112.44,1,1883540.84,1883540.84,1,1883540.84,1883540.84,1.0
153,Unit,DUBAI MARINA,127.09,2,4820000.0,2410000.0,1,2700000.0,2700000.0,0.5
154,Unit,DUBAI MARINA,144.68,2,5636400.0,2818200.0,1,3050000.0,3050000.0,0.5
155,Unit,DUBAI MARINA,160.08,2,3201900.0,1600950.0,1,1950000.0,1950000.0,0.5
156,Unit,DUBAI MARINA,295.36,1,6000000.0,6000000.0,1,6000000.0,6000000.0,1.0
157,Unit,DUBAI PRODUCTION CITY,33.93,1,365000.0,365000.0,1,365000.0,365000.0,1.0
158,Unit,DUBAI PRODUCTION CITY,46.08,1,450000.0,450000.0,1,450000.0,450000.0,1.0
159,Unit,DUBAI PRODUCTION CITY,108.32,2,2624160.0,1312080.0,1,1420000.0,1420000.0,0.5
160,Unit,DUBAI PRODUCTION CITY,113.19,1,1495929.6,1495929.6,1,1495929.6,1495929.6,1.0
161,Unit,DUBAI PRODUCTION CITY,123.38,2,1422960.0,711480.0,1,770000.0,770000.0,0.5
162,Unit,DUBAI PRODUCTION CITY,136.57,1,1512905.0,1512905.0,1,1512905.0,1512905.0,1.0
163,Unit,DUBAI SCIENCE PARK,170.18,2,5440000.0,2720000.0,1,4000000.0,4000000.0,0.5
164,Unit,DUBAI SOUTH,147.85,2,2587200.0,1293600.0,1,1400000.0,1400000.0,0.5
165,Unit,DUBAI SPORTS CITY,37.3,1,525000.0,525000.0,1,525000.0,525000.0,1.0
166,Unit,DUBAI SPORTS CITY,41.33,1,500000.0,500000.0,1,500000.0,500000.0,1.0
167,Unit,DUBAI SPORTS CITY,66.73,2,1136520.0,568260.0,1,615000.0,615000.0,0.5
168,Unit,DUBAI SPORTS CITY,81.79,1,840000.0,840000.0,1,840000.0,840000.0,1.0
